model,experiment_name,dataset_currently_testing,f1_score,HATE_f1_score
FacebookAI/roberta-base,davidson,davidson,0.92,0.88
FacebookAI/roberta-base,davidson,evalita,0.63,0.62
FacebookAI/roberta-base,davidson,ibereval,0.66,0.55
FacebookAI/roberta-base,davidson,hateval-immigrant,0.46,0.18
FacebookAI/roberta-base,davidson,founta_hateful_57k,0.75,0.52
FacebookAI/roberta-base,davidson,hateval-women,0.52,0.64
FacebookAI/roberta-base,davidson,waseem-racism,0.53,0.15
FacebookAI/roberta-base,davidson,waseem-sexism,0.53,0.2
FacebookAI/roberta-base,evalita,evalita,0.83,0.82
FacebookAI/roberta-base,evalita,ibereval,0.91,0.89
FacebookAI/roberta-base,evalita,hateval-immigrant,0.39,0.05
FacebookAI/roberta-base,evalita,davidson,0.66,0.45
FacebookAI/roberta-base,evalita,founta_hateful_57k,0.58,0.2
FacebookAI/roberta-base,evalita,hateval-women,0.51,0.64
FacebookAI/roberta-base,evalita,waseem-racism,0.47,0.04
FacebookAI/roberta-base,evalita,waseem-sexism,0.62,0.36
FacebookAI/roberta-base,founta_hateful_57k,founta_hateful_57k,0.79,0.6
FacebookAI/roberta-base,founta_hateful_57k,evalita,0.6,0.58
FacebookAI/roberta-base,founta_hateful_57k,ibereval,0.69,0.57
FacebookAI/roberta-base,founta_hateful_57k,hateval-immigrant,0.51,0.27
FacebookAI/roberta-base,founta_hateful_57k,davidson,0.88,0.82
FacebookAI/roberta-base,founta_hateful_57k,hateval-women,0.58,0.64
FacebookAI/roberta-base,founta_hateful_57k,waseem-racism,0.67,0.42
FacebookAI/roberta-base,founta_hateful_57k,waseem-sexism,0.55,0.24
FacebookAI/roberta-base,hateval-immigrant,hateval-immigrant,0.39,0.6
FacebookAI/roberta-base,hateval-immigrant,evalita,0.51,0.42
FacebookAI/roberta-base,hateval-immigrant,ibereval,0.74,0.64
FacebookAI/roberta-base,hateval-immigrant,davidson,0.66,0.44
FacebookAI/roberta-base,hateval-immigrant,founta_hateful_57k,0.61,0.27
FacebookAI/roberta-base,hateval-immigrant,hateval-women,0.57,0.45
FacebookAI/roberta-base,hateval-immigrant,waseem-racism,0.71,0.51
FacebookAI/roberta-base,hateval-immigrant,waseem-sexism,0.51,0.19
FacebookAI/roberta-base,hateval-women,hateval-women,0.6,0.46
FacebookAI/roberta-base,hateval-women,evalita,0.52,0.31
FacebookAI/roberta-base,hateval-women,ibereval,0.45,0.13
FacebookAI/roberta-base,hateval-women,hateval-immigrant,0.37,0.0
FacebookAI/roberta-base,hateval-women,davidson,0.5,0.14
FacebookAI/roberta-base,hateval-women,founta_hateful_57k,0.49,0.02
FacebookAI/roberta-base,hateval-women,waseem-racism,0.46,0.01
FacebookAI/roberta-base,hateval-women,waseem-sexism,0.44,0.01
FacebookAI/roberta-base,ibereval,ibereval,0.95,0.94
FacebookAI/roberta-base,ibereval,evalita,0.67,0.67
FacebookAI/roberta-base,ibereval,hateval-immigrant,0.38,0.02
FacebookAI/roberta-base,ibereval,davidson,0.6,0.34
FacebookAI/roberta-base,ibereval,founta_hateful_57k,0.58,0.2
FacebookAI/roberta-base,ibereval,hateval-women,0.41,0.62
FacebookAI/roberta-base,ibereval,waseem-racism,0.47,0.05
FacebookAI/roberta-base,ibereval,waseem-sexism,0.74,0.58
FacebookAI/roberta-base,waseem-racism,waseem-racism,0.86,0.77
FacebookAI/roberta-base,waseem-racism,evalita,0.35,0.02
FacebookAI/roberta-base,waseem-racism,ibereval,0.39,0.01
FacebookAI/roberta-base,waseem-racism,hateval-immigrant,0.45,0.16
FacebookAI/roberta-base,waseem-racism,davidson,0.44,0.03
FacebookAI/roberta-base,waseem-racism,founta_hateful_57k,0.54,0.11
FacebookAI/roberta-base,waseem-racism,hateval-women,0.37,0.01
FacebookAI/roberta-base,waseem-racism,waseem-sexism,0.43,0.01
FacebookAI/roberta-base,waseem-sexism,waseem-sexism,0.84,0.74
FacebookAI/roberta-base,waseem-sexism,evalita,0.56,0.49
FacebookAI/roberta-base,waseem-sexism,ibereval,0.8,0.73
FacebookAI/roberta-base,waseem-sexism,hateval-immigrant,0.37,0.0
FacebookAI/roberta-base,waseem-sexism,davidson,0.62,0.37
FacebookAI/roberta-base,waseem-sexism,founta_hateful_57k,0.56,0.16
FacebookAI/roberta-base,waseem-sexism,hateval-women,0.6,0.56
FacebookAI/roberta-base,waseem-sexism,waseem-racism,0.47,0.03
GroNLP/hateBERT,davidson,davidson,0.89,0.83
GroNLP/hateBERT,davidson,evalita,0.62,0.56
GroNLP/hateBERT,davidson,ibereval,0.48,0.19
GroNLP/hateBERT,davidson,hateval-immigrant,0.39,0.04
GroNLP/hateBERT,davidson,founta_hateful_57k,0.68,0.38
GroNLP/hateBERT,davidson,hateval-women,0.65,0.61
GroNLP/hateBERT,davidson,waseem-racism,0.52,0.13
GroNLP/hateBERT,davidson,waseem-sexism,0.47,0.08
GroNLP/hateBERT,evalita,evalita,0.75,0.72
GroNLP/hateBERT,evalita,ibereval,0.85,0.82
GroNLP/hateBERT,evalita,hateval-immigrant,0.38,0.03
GroNLP/hateBERT,evalita,davidson,0.66,0.46
GroNLP/hateBERT,evalita,founta_hateful_57k,0.6,0.23
GroNLP/hateBERT,evalita,hateval-women,0.52,0.64
GroNLP/hateBERT,evalita,waseem-racism,0.46,0.01
GroNLP/hateBERT,evalita,waseem-sexism,0.57,0.26
GroNLP/hateBERT,founta_hateful_57k,founta_hateful_57k,0.62,0.27
GroNLP/hateBERT,founta_hateful_57k,evalita,0.39,0.07
GroNLP/hateBERT,founta_hateful_57k,ibereval,0.38,0.0
GroNLP/hateBERT,founta_hateful_57k,hateval-immigrant,0.37,0.0
GroNLP/hateBERT,founta_hateful_57k,davidson,0.64,0.39
GroNLP/hateBERT,founta_hateful_57k,hateval-women,0.43,0.14
GroNLP/hateBERT,founta_hateful_57k,waseem-racism,0.47,0.03
GroNLP/hateBERT,founta_hateful_57k,waseem-sexism,0.45,0.03
GroNLP/hateBERT,hateval-immigrant,hateval-immigrant,0.39,0.6
GroNLP/hateBERT,hateval-immigrant,evalita,0.45,0.24
GroNLP/hateBERT,hateval-immigrant,ibereval,0.55,0.31
GroNLP/hateBERT,hateval-immigrant,davidson,0.5,0.15
GroNLP/hateBERT,hateval-immigrant,founta_hateful_57k,0.54,0.12
GroNLP/hateBERT,hateval-immigrant,hateval-women,0.45,0.17
GroNLP/hateBERT,hateval-immigrant,waseem-racism,0.6,0.3
GroNLP/hateBERT,hateval-immigrant,waseem-sexism,0.48,0.12
GroNLP/hateBERT,hateval-women,hateval-women,0.64,0.66
GroNLP/hateBERT,hateval-women,evalita,0.64,0.53
GroNLP/hateBERT,hateval-women,ibereval,0.79,0.71
GroNLP/hateBERT,hateval-women,hateval-immigrant,0.37,0.0
GroNLP/hateBERT,hateval-women,davidson,0.56,0.25
GroNLP/hateBERT,hateval-women,founta_hateful_57k,0.53,0.09
GroNLP/hateBERT,hateval-women,waseem-racism,0.46,0.0
GroNLP/hateBERT,hateval-women,waseem-sexism,0.48,0.08
GroNLP/hateBERT,ibereval,ibereval,0.88,0.85
GroNLP/hateBERT,ibereval,evalita,0.66,0.64
GroNLP/hateBERT,ibereval,hateval-immigrant,0.37,0.01
GroNLP/hateBERT,ibereval,davidson,0.61,0.36
GroNLP/hateBERT,ibereval,founta_hateful_57k,0.57,0.17
GroNLP/hateBERT,ibereval,hateval-women,0.51,0.63
GroNLP/hateBERT,ibereval,waseem-racism,0.45,0.01
GroNLP/hateBERT,ibereval,waseem-sexism,0.69,0.48
GroNLP/hateBERT,waseem-racism,waseem-racism,0.84,0.73
GroNLP/hateBERT,waseem-racism,evalita,0.35,0.0
GroNLP/hateBERT,waseem-racism,ibereval,0.38,0.0
GroNLP/hateBERT,waseem-racism,hateval-immigrant,0.39,0.03
GroNLP/hateBERT,waseem-racism,davidson,0.43,0.0
GroNLP/hateBERT,waseem-racism,founta_hateful_57k,0.51,0.06
GroNLP/hateBERT,waseem-racism,hateval-women,0.37,0.0
GroNLP/hateBERT,waseem-racism,waseem-sexism,0.43,0.0
GroNLP/hateBERT,waseem-sexism,waseem-sexism,0.8,0.66
GroNLP/hateBERT,waseem-sexism,evalita,0.43,0.18
GroNLP/hateBERT,waseem-sexism,ibereval,0.54,0.29
GroNLP/hateBERT,waseem-sexism,hateval-immigrant,0.37,0.0
GroNLP/hateBERT,waseem-sexism,davidson,0.48,0.11
GroNLP/hateBERT,waseem-sexism,founta_hateful_57k,0.53,0.09
GroNLP/hateBERT,waseem-sexism,hateval-women,0.44,0.17
GroNLP/hateBERT,waseem-sexism,waseem-racism,0.46,0.02
